velocity (km/s),I_data (K),I_fit (K),HINSA_I (K),CNM1_I (K)           ,CNM2_I (K),CNM3_I (K),WNM_I (K),V_data (K),V_fit (K),HINSA_V (K)
-19.951060,-0.376971,0.100728,0.000000,0.000000,0.000000,0.000000,0.100728,-0.003086,-0.000048,0.000000
-19.850420,-0.422127,0.106382,0.000000,0.000000,0.000000,0.000000,0.106382,-0.001279,-0.000050,0.000000
-19.749780,-0.450273,0.112325,0.000000,0.000000,0.000000,0.000000,0.112325,-0.002595,-0.000053,0.000000
-19.649140,-0.495279,0.118572,0.000000,0.000000,0.000000,0.000000,0.118572,-0.009878,-0.000056,-0.000000
-19.548500,-0.531805,0.125135,0.000000,0.000000,0.000000,0.000000,0.125135,-0.008371,-0.000059,0.000000
-19.447860,-0.569942,0.132030,0.000000,0.000000,0.000000,0.000000,0.132030,0.004054,-0.000062,0.000000
-19.347220,-0.544648,0.139270,0.000000,0.000000,0.000000,0.000000,0.139270,0.004714,-0.000065,0.000000
-19.246570,-0.564265,0.146873,0.000000,0.000000,0.000000,0.000000,0.146873,-0.003707,-0.000068,-0.000000
-19.145930,-0.563741,0.154851,0.000000,0.000000,0.000000,0.000000,0.154851,-0.004753,-0.000071,0.000000
-19.045290,-0.566577,0.163224,0.000000,0.000000,0.000000,0.000000,0.163224,-0.002708,-0.000075,-0.000000
-18.944650,-0.568423,0.172007,0.000000,0.000000,0.000000,0.000000,0.172007,0.000475,-0.000078,0.000000
-18.844010,-0.578099,0.181219,0.000000,0.000000,0.000000,0.000000,0.181219,0.001065,-0.000082,0.000000
-18.743370,-0.545456,0.190877,0.000000,0.000000,0.000000,0.000000,0.190877,-0.002412,-0.000086,-0.000000
-18.642730,-0.542512,0.201001,0.000000,0.000000,0.000000,0.000000,0.201001,-0.006154,-0.000090,-0.000000
-18.542090,-0.531978,0.211610,0.000000,0.000000,0.000000,0.000000,0.211610,-0.002733,-0.000095,-0.000000
-18.441450,-0.529684,0.222726,0.000000,0.000000,0.000000,0.000000,0.222726,0.005300,-0.000099,-0.000000
-18.340810,-0.494110,0.234367,0.000000,0.000000,0.000000,0.000000,0.234367,0.004125,-0.000104,-0.000000
-18.240160,-0.468117,0.246558,0.000000,0.000000,0.000000,0.000000,0.246558,0.000763,-0.000109,-0.000000
-18.139520,-0.449043,0.259319,0.000000,0.000000,0.000000,0.000000,0.259319,-0.003147,-0.000114,-0.000000
-18.038880,-0.427839,0.272674,0.000000,0.000000,0.000000,0.000000,0.272674,-0.004330,-0.000119,-0.000000
-17.938240,-0.369436,0.286647,0.000000,0.000000,0.000000,0.000000,0.286647,0.000149,-0.000124,0.000000
-17.837600,-0.340672,0.301262,0.000000,0.000000,0.000000,0.000000,0.301262,-0.001792,-0.000130,0.000000
-17.736960,-0.304578,0.316545,0.000000,0.000000,0.000000,0.000000,0.316545,-0.001915,-0.000136,-0.000000
-17.636320,-0.237864,0.332522,0.000000,0.000000,0.000000,0.000000,0.332522,0.003716,-0.000142,-0.000000
-17.535680,-0.233230,0.349220,0.000000,0.000000,0.000000,0.000000,0.349220,0.006717,-0.000149,0.000000
-17.435040,-0.164387,0.366668,0.000000,0.000000,0.000000,0.000000,0.366668,0.006927,-0.000155,-0.000000
-17.334400,-0.135813,0.384893,0.000000,0.000000,0.000000,0.000000,0.384893,0.006699,-0.000162,0.000000
-17.233760,-0.103779,0.403926,0.000000,0.000000,0.000000,0.000000,0.403926,0.006032,-0.000169,-0.000000
-17.133110,-0.046546,0.423798,0.000000,0.000000,0.000000,0.000000,0.423798,0.001499,-0.000177,0.000000
-17.032470,0.026618,0.444538,0.000000,0.000000,0.000000,0.000000,0.444538,-0.005256,-0.000184,0.000000
-16.931830,0.065382,0.466178,0.000000,0.000000,0.000000,0.000000,0.466178,-0.006463,-0.000192,-0.000000
-16.831190,0.147776,0.488753,0.000000,0.000000,0.000000,0.000000,0.488753,-0.003157,-0.000201,0.000000
-16.730550,0.164250,0.512296,0.000000,0.000000,0.000000,0.000000,0.512296,-0.000146,-0.000209,-0.000000
-16.629910,0.247763,0.536842,0.000000,0.000000,0.000000,0.000000,0.536842,0.001857,-0.000218,0.000000
-16.529270,0.304887,0.562427,0.000000,0.000000,0.000000,0.000000,0.562427,0.002614,-0.000227,-0.000000
-16.428630,0.368751,0.589088,0.000000,0.000000,0.000000,0.000000,0.589088,0.008831,-0.000237,-0.000000
-16.327990,0.424465,0.616862,0.000000,0.000000,0.000000,0.000000,0.616862,0.009284,-0.000247,0.000000
-16.227350,0.487049,0.645788,0.000000,0.000000,0.000000,0.000000,0.645788,-0.004248,-0.000257,0.000000
-16.126700,0.540912,0.675908,0.000000,0.000000,0.000000,0.000000,0.675908,-0.014058,-0.000268,0.000000
-16.026060,0.622226,0.707257,0.000000,0.000000,0.000000,0.000000,0.707257,-0.012009,-0.000278,0.000000
-15.925420,0.674650,0.739880,0.000000,0.000000,0.000000,0.000000,0.739880,-0.001600,-0.000290,0.000000
-15.824780,0.738683,0.773819,0.000000,0.000000,0.000000,0.000000,0.773819,-0.002596,-0.000301,0.000000
-15.724140,0.826677,0.809117,0.000000,0.000000,0.000000,0.000000,0.809117,-0.013664,-0.000313,-0.000000
-15.623500,0.892471,0.845819,0.000000,0.000000,0.000000,0.000000,0.845819,-0.003697,-0.000326,0.000000
-15.522860,0.948585,0.883970,0.000000,0.000000,0.000000,0.000000,0.883970,0.007787,-0.000339,0.000000
-15.422220,1.038359,0.923617,0.000000,0.000000,0.000000,0.000000,0.923617,0.004796,-0.000352,-0.000000
-15.321580,1.117592,0.964806,0.000000,0.000000,0.000000,0.000000,0.964806,0.012133,-0.000366,-0.000000
-15.220940,1.192476,1.007587,0.000000,0.000000,0.000001,0.000000,1.007586,0.014969,-0.000380,-0.000000
