velocity (km/s),HINSAV_data (K),HINSAV_fit (K),CNM1_data (K),CNM1_fit (K),           CNM2_data (K),CNM2_fit (K),CNM3_data (K),CNM3_fit (K),WNM_data (K),WNM_fit (K)
-19.951060,-0.003038,0.000000,-0.003038,0.000000,-0.003038,0.000000,-0.003038,0.000000,-0.003086,-0.000048
-19.850420,-0.001229,0.000000,-0.001229,0.000000,-0.001229,-0.000000,-0.001229,0.000000,-0.001279,-0.000050
-19.749780,-0.002542,0.000000,-0.002542,0.000000,-0.002542,-0.000000,-0.002542,0.000000,-0.002595,-0.000053
-19.649140,-0.009822,-0.000000,-0.009822,0.000000,-0.009822,-0.000000,-0.009822,0.000000,-0.009878,-0.000056
-19.548500,-0.008313,0.000000,-0.008313,0.000000,-0.008313,-0.000000,-0.008313,0.000000,-0.008371,-0.000059
-19.447860,0.004115,0.000000,0.004115,0.000000,0.004115,-0.000000,0.004115,0.000000,0.004054,-0.000062
-19.347220,0.004779,0.000000,0.004779,0.000000,0.004779,-0.000000,0.004779,0.000000,0.004714,-0.000065
-19.246570,-0.003639,-0.000000,-0.003639,0.000000,-0.003639,-0.000000,-0.003639,0.000000,-0.003707,-0.000068
-19.145930,-0.004682,0.000000,-0.004682,0.000000,-0.004682,-0.000000,-0.004682,0.000000,-0.004753,-0.000071
-19.045290,-0.002633,-0.000000,-0.002633,0.000000,-0.002633,-0.000000,-0.002633,0.000000,-0.002708,-0.000075
-18.944650,0.000553,0.000000,0.000553,0.000000,0.000553,-0.000000,0.000553,0.000000,0.000475,-0.000078
-18.844010,0.001147,0.000000,0.001147,0.000000,0.001147,-0.000000,0.001147,0.000000,0.001065,-0.000082
-18.743370,-0.002326,-0.000000,-0.002326,0.000000,-0.002326,-0.000000,-0.002326,0.000000,-0.002412,-0.000086
-18.642730,-0.006064,-0.000000,-0.006064,0.000000,-0.006064,-0.000000,-0.006064,0.000000,-0.006154,-0.000090
-18.542090,-0.002639,-0.000000,-0.002639,0.000000,-0.002639,-0.000000,-0.002639,0.000000,-0.002733,-0.000095
-18.441450,0.005399,-0.000000,0.005399,0.000000,0.005399,-0.000000,0.005399,0.000000,0.005300,-0.000099
-18.340810,0.004229,-0.000000,0.004229,0.000000,0.004229,-0.000000,0.004229,0.000000,0.004125,-0.000104
-18.240160,0.000871,-0.000000,0.000871,0.000000,0.000871,-0.000000,0.000871,0.000000,0.000763,-0.000109
-18.139520,-0.003033,-0.000000,-0.003033,0.000000,-0.003033,-0.000000,-0.003033,0.000000,-0.003147,-0.000114
-18.038880,-0.004211,-0.000000,-0.004211,0.000000,-0.004211,-0.000000,-0.004211,0.000000,-0.004330,-0.000119
-17.938240,0.000273,0.000000,0.000273,0.000000,0.000273,-0.000000,0.000273,0.000000,0.000149,-0.000124
-17.837600,-0.001662,0.000000,-0.001662,0.000000,-0.001662,-0.000000,-0.001662,0.000000,-0.001792,-0.000130
-17.736960,-0.001779,-0.000000,-0.001779,0.000000,-0.001779,-0.000000,-0.001779,0.000000,-0.001915,-0.000136
-17.636320,0.003859,-0.000000,0.003859,0.000000,0.003859,-0.000000,0.003859,0.000000,0.003716,-0.000142
-17.535680,0.006865,0.000000,0.006865,0.000000,0.006865,-0.000000,0.006865,0.000000,0.006717,-0.000149
-17.435040,0.007083,-0.000000,0.007083,0.000000,0.007083,-0.000000,0.007083,0.000000,0.006927,-0.000155
-17.334400,0.006861,0.000000,0.006861,0.000000,0.006861,-0.000000,0.006861,0.000000,0.006699,-0.000162
-17.233760,0.006202,-0.000000,0.006202,0.000000,0.006202,-0.000000,0.006202,0.000000,0.006032,-0.000169
-17.133110,0.001676,0.000000,0.001676,0.000000,0.001676,-0.000000,0.001676,0.000000,0.001499,-0.000177
-17.032470,-0.005072,0.000000,-0.005072,0.000000,-0.005072,-0.000000,-0.005072,0.000000,-0.005256,-0.000184
-16.931830,-0.006271,-0.000000,-0.006271,0.000000,-0.006271,-0.000000,-0.006271,0.000000,-0.006463,-0.000192
-16.831190,-0.002956,0.000000,-0.002956,0.000000,-0.002956,-0.000000,-0.002956,0.000000,-0.003157,-0.000201
-16.730550,0.000063,-0.000000,0.000063,0.000000,0.000063,-0.000000,0.000063,0.000000,-0.000146,-0.000209
-16.629910,0.002075,0.000000,0.002075,0.000000,0.002075,-0.000000,0.002075,0.000000,0.001857,-0.000218
-16.529270,0.002841,-0.000000,0.002841,0.000000,0.002841,-0.000000,0.002841,0.000000,0.002614,-0.000227
-16.428630,0.009068,-0.000000,0.009068,0.000000,0.009068,-0.000000,0.009068,0.000000,0.008831,-0.000237
-16.327990,0.009531,0.000000,0.009531,0.000000,0.009531,-0.000000,0.009531,0.000000,0.009284,-0.000247
-16.227350,-0.003991,0.000000,-0.003991,0.000000,-0.003991,-0.000000,-0.003991,0.000000,-0.004248,-0.000257
-16.126700,-0.013790,0.000000,-0.013790,0.000000,-0.013790,-0.000000,-0.013790,0.000000,-0.014058,-0.000268
-16.026060,-0.011730,0.000000,-0.011730,0.000000,-0.011730,-0.000000,-0.011730,0.000000,-0.012009,-0.000278
-15.925420,-0.001310,0.000000,-0.001310,0.000000,-0.001310,-0.000000,-0.001310,0.000000,-0.001600,-0.000290
